,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
67089,37921,NIFTY03NOV2216700PE,NIFTY,03NOV2022,1670000.000000,50,OPTIDX,NFO,5.000000
67135,48831,FINNIFTY22NOV2218850CE,FINNIFTY,22NOV2022,1885000.000000,40,OPTIDX,NFO,5.000000
67138,49463,FINNIFTY20DEC2218200CE,FINNIFTY,20DEC2022,1820000.000000,40,OPTIDX,NFO,5.000000
67144,49902,NIFTY01DEC2216350CE,NIFTY,01DEC2022,1635000.000000,50,OPTIDX,NFO,5.000000
67149,85935,BANKNIFTY29DEC2240800CE,BANKNIFTY,29DEC2022,4080000.000000,25,OPTIDX,NFO,5.000000
67153,46952,NIFTY15DEC2214650PE,NIFTY,15DEC2022,1465000.000000,50,OPTIDX,NFO,5.000000
67155,49963,MIDCPNIFTY20DEC225600CE,MIDCPNIFTY,20DEC2022,560000.000000,75,OPTIDX,NFO,5.000000
67168,39972,NIFTY27JUN2419000PE,NIFTY,27JUN2024,1900000.000000,50,OPTIDX,NFO,5.000000
67172,50989,NIFTY22DEC2216700PE,NIFTY,22DEC2022,1670000.000000,50,OPTIDX,NFO,5.000000
67176,84492,MIDCPNIFTY27DEC225200PE,MIDCPNIFTY,27DEC2022,520000.000000,75,OPTIDX,NFO,5.000000
67179,61351,NIFTY24NOV2217850CE,NIFTY,24NOV2022,1785000.000000,50,OPTIDX,NFO,5.000000
67181,60238,MIDCPNIFTY01NOV227550CE,MIDCPNIFTY,01NOV2022,755000.000000,75,OPTIDX,NFO,5.000000
67185,48653,FINNIFTY15NOV2217650CE,FINNIFTY,15NOV2022,1765000.000000,40,OPTIDX,NFO,5.000000
67187,48411,NIFTY10NOV2218850CE,NIFTY,10NOV2022,1885000.000000,50,OPTIDX,NFO,5.000000
67199,71553,NIFTY24JUN2721000CE,NIFTY,24JUN2027,2100000.000000,50,OPTIDX,NFO,5.000000
67203,68510,MIDCPNIFTY22NOV226200PE,MIDCPNIFTY,22NOV2022,620000.000000,75,OPTIDX,NFO,5.000000
67224,58649,NIFTY31DEC2622000PE,NIFTY,31DEC2026,2200000.000000,50,OPTIDX,NFO,5.000000
67236,46961,NIFTY15DEC2214750PE,NIFTY,15DEC2022,1475000.000000,50,OPTIDX,NFO,5.000000
67237,44330,FINNIFTY13DEC2214400PE,FINNIFTY,13DEC2022,1440000.000000,40,OPTIDX,NFO,5.000000
67239,46874,BANKNIFTY17NOV2246000PE,BANKNIFTY,17NOV2022,4600000.000000,25,OPTIDX,NFO,5.000000
67243,45341,MIDCPNIFTY07NOV227600PE,MIDCPNIFTY,07NOV2022,760000.000000,75,OPTIDX,NFO,5.000000
67244,37914,NIFTY03NOV2216600PE,NIFTY,03NOV2022,1660000.000000,50,OPTIDX,NFO,5.000000
67245,51715,MIDCPNIFTY15NOV227350PE,MIDCPNIFTY,15NOV2022,735000.000000,75,OPTIDX,NFO,5.000000
67248,49186,FINNIFTY13DEC2218450PE,FINNIFTY,13DEC2022,1845000.000000,40,OPTIDX,NFO,5.000000
67261,48199,NIFTY10NOV2217450CE,NIFTY,10NOV2022,1745000.000000,50,OPTIDX,NFO,5.000000
67265,39704,FINNIFTY29NOV2216800CE,FINNIFTY,29NOV2022,1680000.000000,40,OPTIDX,NFO,5.000000
67271,55314,BANKNIFTY25JAN2332000PE,BANKNIFTY,25JAN2023,3200000.000000,25,OPTIDX,NFO,5.000000
67272,49370,BANKNIFTY03NOV2240000CE,BANKNIFTY,03NOV2022,4000000.000000,25,OPTIDX,NFO,5.000000
67275,84708,MIDCPNIFTY27DEC227800CE,MIDCPNIFTY,27DEC2022,780000.000000,75,OPTIDX,NFO,5.000000
67289,59989,FINNIFTY01NOV2218300CE,FINNIFTY,01NOV2022,1830000.000000,40,OPTIDX,NFO,5.000000
67294,37813,NIFTY03NOV2215550CE,NIFTY,03NOV2022,1555000.000000,50,OPTIDX,NFO,5.000000
67296,44731,FINNIFTY07NOV2217900CE,FINNIFTY,07NOV2022,1790000.000000,40,OPTIDX,NFO,5.000000
67299,60028,FINNIFTY01NOV2220100PE,FINNIFTY,01NOV2022,2010000.000000,40,OPTIDX,NFO,5.000000
67317,45853,NIFTY28DEC2317000PE,NIFTY,28DEC2023,1700000.000000,50,OPTIDX,NFO,5.000000
67362,52601,NIFTY22DEC2219600PE,NIFTY,22DEC2022,1960000.000000,50,OPTIDX,NFO,5.000000
67364,44439,FINNIFTY13DEC2217500PE,FINNIFTY,13DEC2022,1750000.000000,40,OPTIDX,NFO,5.000000
67367,42593,NIFTY08DEC2214700CE,NIFTY,08DEC2022,1470000.000000,50,OPTIDX,NFO,5.000000
67371,35080,BANKNIFTY17NOV2243200CE,BANKNIFTY,17NOV2022,4320000.000000,25,OPTIDX,NFO,5.000000
67375,55671,NIFTY25JAN2315800CE,NIFTY,25JAN2023,1580000.000000,50,OPTIDX,NFO,5.000000
67385,49023,FINNIFTY06DEC2218850CE,FINNIFTY,06DEC2022,1885000.000000,40,OPTIDX,NFO,5.000000
67391,84710,MIDCPNIFTY27DEC227850CE,MIDCPNIFTY,27DEC2022,785000.000000,75,OPTIDX,NFO,5.000000
67407,37712,NIFTY29JUN2323000CE,NIFTY,29JUN2023,2300000.000000,50,OPTIDX,NFO,5.000000
67410,40885,MIDCPNIFTY06DEC227550PE,MIDCPNIFTY,06DEC2022,755000.000000,75,OPTIDX,NFO,5.000000
67412,45127,MIDCPNIFTY07NOV225500PE,MIDCPNIFTY,07NOV2022,550000.000000,75,OPTIDX,NFO,5.000000
67421,44263,FINNIFTY13DEC2212600CE,FINNIFTY,13DEC2022,1260000.000000,40,OPTIDX,NFO,5.000000
67423,61241,NIFTY24NOV2217250CE,NIFTY,24NOV2022,1725000.000000,50,OPTIDX,NFO,5.000000
67428,85537,BANKNIFTY29DEC2239400CE,BANKNIFTY,29DEC2022,3940000.000000,25,OPTIDX,NFO,5.000000
67435,86484,NIFTY29DEC2218900CE,NIFTY,29DEC2022,1890000.000000,50,OPTIDX,NFO,5.000000
67453,46188,BANKNIFTY01DEC2237400PE,BANKNIFTY,01DEC2022,3740000.000000,25,OPTIDX,NFO,5.000000
67455,55776,NIFTY25JAN2316750PE,NIFTY,25JAN2023,1675000.000000,50,OPTIDX,NFO,5.000000
67456,49277,BANKNIFTY03NOV2238100CE,BANKNIFTY,03NOV2022,3810000.000000,25,OPTIDX,NFO,5.000000
67466,42332,BANKNIFTY10NOV2238800CE,BANKNIFTY,10NOV2022,3880000.000000,25,OPTIDX,NFO,5.000000
67478,68603,MIDCPNIFTY22NOV227650PE,MIDCPNIFTY,22NOV2022,765000.000000,75,OPTIDX,NFO,5.000000
67483,84766,MIDCPNIFTY27DEC229000CE,MIDCPNIFTY,27DEC2022,900000.000000,75,OPTIDX,NFO,5.000000
67489,60669,BANKNIFTY24NOV2240100PE,BANKNIFTY,24NOV2022,4010000.000000,25,OPTIDX,NFO,5.000000
